,,% Trade,% of ETF,CUSIP,Date,Direction,FUND,Name,Shares,Ticker
3646,,,0.0449,82509L107,2020-12-02,Buy,ARKK,SHOPIFY INC,5538,SHOP
3647,,,0.0996,88032Q109,2020-12-02,Buy,ARKK,TENCENT HOLDINGS LTD,177000,TCEHY
3648,,,0.1141,87918A105,2020-12-02,Buy,ARKK,TELADOC HEALTH INC,77741,TDOC
3649,,,0.4021,874039100,2020-12-02,Buy,ARKK,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,532703,TSM
3650,,,0.2517,90138F102,2020-12-02,Buy,ARKK,TWILIO INC,106079,TWLO
3651,,,0.5488,70450Y103,2020-12-02,Buy,ARKK,PAYPAL HOLDINGS INC,342546,PYPL
3652,,,0.0514,482497104,2020-12-02,Buy,ARKK,KE HOLDINGS INC,108913,BEKE
3653,,,0.0979,45866F104,2020-12-02,Buy,ARKK,INTERCONTINENTAL EXCHANGE INC,122048,ICE
3654,,,0.078,30063P105,2020-12-02,Buy,ARKK,EXACT SCIENCES CORP,82813,EXAS
3655,,,0.1011,256163106,2020-12-02,Buy,ARKK,DOCUSIGN INC,62069,DOCU
3656,,,0.0028,302104104,2020-12-02,Sell,ARKK,EXONE CO/THE,32544,XONE
3657,,,1.3464,83088V102,2020-12-02,Sell,ARKK,SLACK TECHNOLOGIES INC,4179240,WORK
3658,,,0.0574,63009R109,2020-12-02,Sell,ARKK,NANOSTRING TECHNOLOGIES INC,136077,NSTG
3659,,,0.0434,25985W105,2020-12-02,Sell,ARKK,DOUYU INTERNATIONAL HOLDINGS LTD,463929,DOYU
3660,,,0.0527,754212108,2020-12-02,Buy,ARKQ,RAVEN INDUSTRIES INC,22648,RAVN
3661,,,0.2657,98138J206,2020-12-02,Buy,ARKQ,WORKHORSE GROUP INC,153000,WKHS
3662,,,0.0834,00851L103,2020-12-02,Buy,ARKW,AGORA INC,94084,API
3663,,,0.0261,14843C105,2020-12-01,Buy,ARKG,CASTLE BIOSCIENCES INC,21874,CSTL
3664,,,0.2246,30063P105,2020-12-01,Buy,ARKG,EXACT SCIENCES CORP,75145,EXAS
3665,,,0.2937,771195104,2020-12-01,Buy,ARKG,ROCHE HOLDING AG,293433,RHHBY
3666,,,0.075,14167L103,2020-12-01,Sell,ARKG,CAREDX INC,52818,CDNA
3667,,,0.0084,87184Q107,2020-12-01,Sell,ARKG,SYROS PHARMACEUTICALS INC,42400,SYRS
3668,,,0.2491,98980L101,2020-12-01,Buy,ARKK,ZOOM VIDEO COMMUNICATIONS INC,79447,ZM
3669,,,0.1977,256163106,2020-12-01,Buy,ARKK,DOCUSIGN INC,123242,DOCU
3670,,,0.0807,482497104,2020-12-01,Buy,ARKK,KE HOLDINGS INC,164500,BEKE
3671,,,0.1334,63009R109,2020-12-01,Sell,ARKK,NANOSTRING TECHNOLOGIES INC,330715,NSTG
3672,,,0.0003,302104104,2020-12-01,Sell,ARKK,EXONE CO/THE,3531,XONE
3673,,,0.1196,754212108,2020-12-01,Buy,ARKQ,RAVEN INDUSTRIES INC,51390,RAVN
3674,,,0.1899,896239100,2020-12-01,Buy,ARKQ,TRIMBLE INC,34810,TRMB
3675,,,0.1696,88160R101,2020-12-01,Sell,ARKQ,TESLA INC,3234,TSLA
3676,,,0.5213,82509L107,2020-12-01,Buy,ARKW,SHOPIFY INC,19998,SHOP
3677,,,0.1967,256163106,2020-12-01,Buy,ARKW,DOCUSIGN INC,38193,DOCU
3678,,,0.1304,00851L103,2020-12-01,Buy,ARKW,AGORA INC,144419,API
3679,,,0.2547,98980L101,2020-12-01,Buy,ARKW,ZOOM VIDEO COMMUNICATIONS INC,25322,ZM
3680,,,0.4978,88160R101,2020-12-01,Sell,ARKW,TESLA INC,35244,TSLA
3681,,,0.2449,83088V102,2020-12-01,Sell,ARKW,SLACK TECHNOLOGIES INC,231400,WORK
3682,,,0.0111,14843C105,2020-11-30,Buy,ARKG,CASTLE BIOSCIENCES INC,9900,CSTL
3683,,,0.027,30063P105,2020-11-30,Buy,ARKG,EXACT SCIENCES CORP,9028,EXAS
3684,,,0.4943,02079K305,2020-11-30,Buy,ARKG,ALPHABET INC,11300,GOOGL
3685,,,0.1427,771195104,2020-11-30,Buy,ARKG,ROCHE HOLDING AG,139474,RHHBY
3686,,,0.508,03969T109,2020-11-30,Sell,ARKG,ARCTURUS THERAPEUTICS HOLDINGS INC,238908,ARCT
3687,,,0.044,14167L103,2020-11-30,Sell,ARKG,CAREDX INC,31003,CDNA
3688,,,0.0054,87184Q107,2020-11-30,Sell,ARKG,SYROS PHARMACEUTICALS INC,26518,SYRS
3689,,,0.5131,82509L107,2020-11-30,Buy,ARKK,SHOPIFY INC,62462,SHOP
3690,,,0.1694,482497104,2020-11-30,Buy,ARKK,KE HOLDINGS INC,341471,BEKE
3691,,,0.0024,25985W105,2020-11-30,Sell,ARKK,DOUYU INTERNATIONAL HOLDINGS LTD,23230,DOYU
3692,,,0.5074,88160R101,2020-11-30,Sell,ARKK,TESLA INC,113264,TSLA
3693,,,0.7557,874039100,2020-11-30,Buy,ARKQ,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,83818,TSM
3694,,,0.3104,896239100,2020-11-30,Buy,ARKQ,TRIMBLE INC,56054,TRMB
3695,,,0.074,754212108,2020-11-30,Buy,ARKQ,RAVEN INDUSTRIES INC,31319,RAVN
3696,,,1.0051,N6596X109,2020-11-30,Buy,ARKQ,NXP SEMICONDUCTORS NV,68294,NXPI
3697,,,0.2484,47215P106,2020-11-30,Buy,ARKQ,JD.COM INC,31224,JD
3698,,,0.0375,302445101,2020-11-30,Buy,ARKQ,FLIR SYSTEMS INC,10211,FLIR
3699,,,0.3015,848637104,2020-11-30,Sell,ARKQ,SPLUNK INC,16071,SPLK
3700,,,0.8023,88160R101,2020-11-30,Sell,ARKQ,TESLA INC,14900,TSLA
3701,,,1.0164,983919101,2020-11-30,Sell,ARKQ,XILINX INC,76325,XLNX
3702,,,0.4982,70450Y103,2020-11-30,Buy,ARKW,PAYPAL HOLDINGS INC,95536,PYPL
3703,,,0.298,64110L106,2020-11-30,Buy,ARKW,NETFLIX INC,25128,NFLX
3704,,,0.296,47215P106,2020-11-30,Buy,ARKW,JD.COM INC,142464,JD
3705,,,0.4963,30303M102,2020-11-30,Buy,ARKW,FACEBOOK INC,74133,FB
3706,,,0.1608,482497104,2020-11-30,Buy,ARKW,KE HOLDINGS INC,102800,BEKE
3707,,,0.0283,00851L103,2020-11-30,Buy,ARKW,AGORA INC,30760,API
3708,,,0.321,389637109,2020-11-30,Sell,ARKW,GRAYSCALE BITCOIN TRUST BTC,574926,GBTC
3709,,,1.4804,83088V102,2020-11-30,Sell,ARKW,SLACK TECHNOLOGIES INC,1424300,WORK
3710,,,0.0023,87184Q107,2020-11-27,Sell,ARKG,SYROS PHARMACEUTICALS INC,11284,SYRS
3711,,,0.0014,25985W105,2020-11-27,Sell,ARKK,DOUYU INTERNATIONAL HOLDINGS LTD,13188,DOYU
3712,,,0.002,302104104,2020-11-27,Sell,ARKK,EXONE CO/THE,20000,XONE
3713,,,0.211,302445101,2020-11-27,Buy,ARKQ,FLIR SYSTEMS INC,58752,FLIR
3714,,,0.0342,482497104,2020-11-27,Buy,ARKW,KE HOLDINGS INC,21811,BEKE
3715,,,0.0045,302104104,2020-11-25,Sell,ARKK,EXONE CO/THE,48343,XONE
3716,,,0.0038,25985W105,2020-11-25,Sell,ARKK,DOUYU INTERNATIONAL HOLDINGS LTD,34030,DOYU
3717,,,0.0769,389637109,2020-11-25,Sell,ARKW,GRAYSCALE BITCOIN TRUST BTC,141000,GBTC
3718,,,0.2744,75886F107,2020-11-24,Buy,ARKG,REGENERON PHARMACEUTICALS INC,18834,REGN
3719,,,0.1708,87918A105,2020-11-24,Buy,ARKG,TELADOC HEALTH INC,33376,TDOC
3720,,,0.0016,14167L103,2020-11-24,Sell,ARKG,CAREDX INC,964,CDNA
3721,,,0.0338,92337F107,2020-11-24,Sell,ARKG,VERACYTE INC,23468,VCYT
3722,,,0.004,87184Q107,2020-11-24,Sell,ARKG,SYROS PHARMACEUTICALS INC,17901,SYRS
3723,,,0.2741,452327109,2020-11-24,Sell,ARKG,ILLUMINA INC,32368,ILMN
3724,,,0.019,654445303,2020-11-24,Buy,ARKK,NINTENDO CO LTD,35036,NTDOY
3725,,,0.0037,25985W105,2020-11-24,Sell,ARKK,DOUYU INTERNATIONAL HOLDINGS LTD,31947,DOYU
3726,,,0.0037,302104104,2020-11-24,Sell,ARKK,EXONE CO/THE,40231,XONE
3727,,,0.1122,302445101,2020-11-24,Buy,ARKQ,FLIR SYSTEMS INC,28790,FLIR
3728,,,0.1742,543195101,2020-11-23,Buy,ARKG,LONGVIEW ACQUISITION CORP,459572,LGVW
3729,,,0.2555,75886F107,2020-11-23,Buy,ARKG,REGENERON PHARMACEUTICALS INC,17888,REGN
3730,,,0.0424,14167L103,2020-11-23,Sell,ARKG,CAREDX INC,25952,CDNA
3731,,,0.2636,452327109,2020-11-23,Sell,ARKG,ILLUMINA INC,31965,ILMN
3732,,,0.0056,87184Q107,2020-11-23,Sell,ARKG,SYROS PHARMACEUTICALS INC,25320,SYRS
3733,,,0.0534,654445303,2020-11-23,Buy,ARKK,NINTENDO CO LTD,97565,NTDOY
3734,,,0.015,302104104,2020-11-23,Sell,ARKK,EXONE CO/THE,164700,XONE
3735,,,0.0004,25985W105,2020-11-23,Sell,ARKK,DOUYU INTERNATIONAL HOLDINGS LTD,3143,DOYU
3736,,,0.5931,302445101,2020-11-23,Buy,ARKQ,FLIR SYSTEMS INC,154127,FLIR
3737,,,0.7016,05606L100,2020-11-23,Sell,ARKQ,BYD CO LTD,136394,BYDDY
3738,,,0.0671,92337F107,2020-11-23,Sell,ARKW,VERACYTE INC,49144,VCYT
3739,,,0.25,30063P105,2020-11-20,Buy,ARKG,EXACT SCIENCES CORP,77727,EXAS
3740,,,0.1,H17182108,2020-11-20,Sell,ARKG,CRISPR THERAPEUTICS AG CHF 0.03,32401,CRSP
3741,,,0.09,46185L103,2020-11-20,Sell,ARKG,INVITAE CORP,70138,NVTA
3742,,,0.01,87184Q107,2020-11-20,Sell,ARKG,SYROS PHARMACEUTICALS INC,49919,SYRS
3743,,,0.05,90184D100,2020-11-20,Sell,ARKG,TWIST BIOSCIENCE CORP,15749,TWST
3744,,,0.09,30063P105,2020-11-20,Buy,ARKK,EXACT SCIENCES CORP,91102,EXAS
3745,,,0.04,654445303,2020-11-20,Buy,ARKK,NINTENDO CO LTD-UNSPONS ADR,67500,NTDOY
3746,,,0.002,302104104,2020-11-20,Sell,ARKK,EXONE CO/THE,18847,XONE
3747,,,0.1072,58733R102,2020-11-19,Sell,ARKF,MERCADOLIBRE INC,876,MELI
3748,,,0.2509,72352L106,2020-11-19,Sell,ARKF,PINTEREST INC,42629,PINS
3749,,,0.2951,852234103,2020-11-19,Sell,ARKF,SQUARE INC,17107,SQ
3750,,,0.0976,98954M200,2020-11-19,Sell,ARKF,ZILLOW GROUP INC,10077,Z
3751,,,0.0042,760273102,2020-11-19,Buy,ARKG,REPARE THERAPEUTICS INC,5304,RPTX
3752,,,1.0074,452327109,2020-11-19,Sell,ARKG,ILLUMINA INC,118419,ILMN
3753,,,0.1551,30063P105,2020-11-19,Buy,ARKK,EXACT SCIENCES CORP,159410,EXAS
3754,,,0.0258,654445303,2020-11-19,Buy,ARKK,NINTENDO CO LTD,45000,NTDOY
3755,,,0.5005,82509L107,2020-11-19,Buy,ARKK,SHOPIFY INC,60306,SHOP
3756,,,0.0006,98980G102,2020-11-19,Sell,ARKK,ZSCALER INC,468,ZS
3757,,,0.004,302104104,2020-11-19,Sell,ARKK,EXONE CO/THE,44158,XONE
3758,,,0.6923,88160R101,2020-11-19,Sell,ARKK,TESLA INC,160969,TSLA
3759,,,0.2009,852234103,2020-11-19,Sell,ARKK,SQUARE INC,121822,SQ
3760,,,0.2989,848637104,2020-11-19,Sell,ARKK,SPLUNK INC,174863,SPLK
3761,,,0.1476,72352L106,2020-11-19,Sell,ARKW,PINTEREST INC,80954,PINS
3762,,,0.2481,77543R102,2020-11-19,Sell,ARKW,ROKU INC,35038,ROKU
3763,,,0.1531,83304A106,2020-11-19,Sell,ARKW,SNAP INC,131737,SNAP
3764,,,0.2973,852234103,2020-11-19,Sell,ARKW,SQUARE INC,56177,SQ
3765,,,0.305,88160R101,2020-11-19,Sell,ARKW,TESLA INC,22038,TSLA
3766,,,0.0563,92337F107,2020-11-19,Sell,ARKW,VERACYTE INC,41095,VCYT
3767,,,0.2455,82509L107,2020-11-18,Buy,ARKF,SHOPIFY INC,2922,SHOP
3768,,,0.0951,82837P408,2020-11-18,Buy,ARKF,SILVERGATE CAPITAL CORP,33551,SI
3769,,,0.244,023135106,2020-11-18,Sell,ARKF,AMAZON.COM INC,852,AMZN
3770,,,0.0037,760273102,2020-11-18,Buy,ARKG,REPARE THERAPEUTICS INC,4560,RPTX
3771,,,0.0572,654445303,2020-11-18,Buy,ARKK,NINTENDO CO LTD,100500,NTDOY
3772,,,0.0687,98980G102,2020-11-18,Sell,ARKK,ZSCALER INC,57974,ZS
3773,,,0.0028,302104104,2020-11-18,Sell,ARKK,EXONE CO/THE,29600,XONE
3774,,,0.0332,00851L103,2020-11-18,Buy,ARKW,AGORA INC,31100,API
3775,,,0.1437,82509L107,2020-11-18,Buy,ARKW,SHOPIFY INC,5431,SHOP
3776,,,0.0226,92337F107,2020-11-18,Sell,ARKW,VERACYTE INC,15890,VCYT
3777,,,0.0989,256163106,2020-11-17,Buy,ARKF,DOCUSIGN INC,5026,DOCU
3778,,,0.1182,82837P408,2020-11-17,Buy,ARKF,SILVERGATE CAPITAL CORP,43348,SI
3779,,,0.4994,87918A105,2020-11-17,Buy,ARKF,TELADOC HEALTH INC,29767,TDOC
3780,,,0.5808,J9894K105,2020-11-17,Sell,ARKF,Z HOLDINGS CORP,1142607,4689JP
3781,,,0.1941,J6991H100,2020-11-17,Sell,ARKF,SBI HOLDINGS INC/JAPAN,83812,8473JP
3782,,,0.0059,760273102,2020-11-17,Buy,ARKG,REPARE THERAPEUTICS INC,7232,RPTX
3783,,,0.0546,14843C105,2020-11-17,Buy,ARKG,CASTLE BIOSCIENCES INC,37181,CSTL
3784,,,0.0502,084310101,2020-11-17,Buy,ARKG,BERKELEY LIGHTS INC,20119,BLI
3785,,,0.0035,87184Q107,2020-11-17,Sell,ARKG,SYROS PHARMACEUTICALS INC,13678,SYRS
3786,,,0.0004,91332U101,2020-11-17,Buy,ARKK,UNITY SOFTWARE INC,362,U
3787,,,0.1018,98980G102,2020-11-17,Sell,ARKK,ZSCALER INC,83876,ZS
3788,,,0.0014,302104104,2020-11-17,Sell,ARKK,EXONE CO/THE,15410,XONE
3789,,,0.0175,81750R102,2020-11-17,Sell,ARKK,SERES THERAPEUTICS INC,54000,MCRB
3790,,,0.0005,25985W105,2020-11-17,Sell,ARKK,DOUYU INTERNATIONAL HOLDINGS LTD,4206,DOYU
3791,,,0.18,00851L103,2020-11-17,Buy,ARKW,AGORA INC,169116,API
3792,,,0.2349,654445303,2020-11-17,Buy,ARKW,NINTENDO CO LTD,126970,NTDOY
3793,,,0.4007,01609W102,2020-11-17,Sell,ARKW,ALIBABA GROUP HOLDING LTD,53953,BABA
3794,,,0.0316,92337F107,2020-11-17,Sell,ARKW,VERACYTE INC,22981,VCYT
3795,,,0.1984,47215P106,2020-11-16,Buy,ARKF,JD.COM INC,25040,JD
3796,,,0.1963,40415F101,2020-11-16,Sell,ARKF,HDFC BANK LTD,30697,HDB
3797,,,0.019,084310101,2020-11-16,Buy,ARKG,BERKELEY LIGHTS INC,7035,BLI
3798,,,0.4505,87918A105,2020-11-16,Buy,ARKG,TELADOC HEALTH INC,83995,TDOC
3799,,,0.0167,14843C105,2020-11-16,Buy,ARKG,CASTLE BIOSCIENCES INC,11000,CSTL
3800,,,0.0036,760273102,2020-11-16,Buy,ARKG,REPARE THERAPEUTICS INC,4329,RPTX
3801,,,0.0,87184Q107,2020-11-16,Sell,ARKG,SYROS PHARMACEUTICALS INC,100,SYRS
3802,,,0.2452,452327109,2020-11-16,Sell,ARKG,ILLUMINA INC,27552,ILMN
3803,,,0.071,M25722105,2020-11-16,Sell,ARKG,COMPUGEN LTD,175694,CGEN
3804,,,0.246,91332U101,2020-11-16,Buy,ARKK,UNITY SOFTWARE INC,249371,U
3805,,,0.205,87918A105,2020-11-16,Buy,ARKK,TELADOC HEALTH INC,128386,TDOC
3806,,,0.1955,98980G102,2020-11-16,Sell,ARKK,ZSCALER INC,162835,ZS
3807,,,0.0703,98954M200,2020-11-16,Sell,ARKK,ZILLOW GROUP INC,73138,Z
3808,,,0.0004,302104104,2020-11-16,Sell,ARKK,EXONE CO/THE,4555,XONE
3809,,,0.0998,852234103,2020-11-16,Sell,ARKK,SQUARE INC,62423,SQ
3810,,,0.0477,45826J105,2020-11-16,Sell,ARKK,INTELLIA THERAPEUTICS INC,157247,NTLA
3811,,,0.0645,63009R109,2020-11-16,Sell,ARKK,NANOSTRING TECHNOLOGIES INC,155192,NSTG
3812,,,0.0033,81750R102,2020-11-16,Sell,ARKK,SERES THERAPEUTICS INC,10492,MCRB
3813,,,0.0363,25985W105,2020-11-16,Sell,ARKK,DOUYU INTERNATIONAL HOLDINGS LTD,282261,DOYU
3814,,,0.4944,88160R101,2020-11-16,Buy,ARKQ,TESLA INC,10926,TSLA
3815,,,0.3557,92766K106,2020-11-16,Buy,ARKQ,VIRGIN GALACTIC HOLDINGS INC,153000,SPCE
3816,,,0.2137,65481N100,2020-11-16,Sell,ARKQ,NIU TECHNOLOGIES,58084,NIU
3817,,,0.5923,05606L100,2020-11-16,Sell,ARKQ,BYD CO LTD,114811,BYDDY
3818,,,0.5023,91332U101,2020-11-16,Buy,ARKW,UNITY SOFTWARE INC,159400,U
3819,,,0.2261,87918A105,2020-11-16,Buy,ARKW,TELADOC HEALTH INC,43073,TDOC
3820,,,0.502,82509L107,2020-11-16,Buy,ARKW,SHOPIFY INC,18909,SHOP
3821,,,0.1492,654445303,2020-11-16,Buy,ARKW,NINTENDO CO LTD,79500,NTDOY
3822,,,0.1998,31188V100,2020-11-16,Buy,ARKW,FASTLY INC,89300,FSLY
3823,,,0.2057,256163106,2020-11-16,Buy,ARKW,DOCUSIGN INC,33779,DOCU
3824,,,0.1527,443573100,2020-11-16,Sell,ARKW,HUBSPOT INC,14874,HUBS
3825,,,0.2937,88032Q109,2020-11-16,Sell,ARKW,TENCENT HOLDINGS LTD,132777,TCEHY
3826,,,0.1439,88339J105,2020-11-16,Sell,ARKW,TRADE DESK INC/THE,6653,TTD
3827,,,1.0211,023135106,2020-11-16,Sell,ARKW,AMAZON.COM INC,11168,AMZN
3828,,,0.0297,92337F107,2020-11-16,Sell,ARKW,VERACYTE INC,21534,VCYT
3829,,,0.1096,084310101,2020-11-13,Buy,ARKG,BERKELEY LIGHTS INC,40658,BLI
3830,,,0.0542,14843C105,2020-11-13,Buy,ARKG,CASTLE BIOSCIENCES INC,35478,CSTL
3831,,,0.0055,760273102,2020-11-13,Buy,ARKG,REPARE THERAPEUTICS INC,6580,RPTX
3832,,,0.0065,M25722105,2020-11-13,Sell,ARKG,COMPUGEN LTD,16084,CGEN
3833,,,0.0013,87184Q107,2020-11-13,Sell,ARKG,SYROS PHARMACEUTICALS INC,4970,SYRS
3834,,,0.1212,91332U101,2020-11-13,Buy,ARKK,UNITY SOFTWARE INC,121691,U
3835,,,0.2496,87918A105,2020-11-13,Buy,ARKK,TELADOC HEALTH INC,152196,TDOC
3836,,,0.0357,654445303,2020-11-13,Buy,ARKK,NINTENDO CO LTD,60138,NTDOY
3837,,,0.0318,63009R109,2020-11-13,Sell,ARKK,NANOSTRING TECHNOLOGIES INC,76100,NSTG
3838,,,0.0033,45826J105,2020-11-13,Sell,ARKK,INTELLIA THERAPEUTICS INC,10976,NTLA
3839,,,0.0053,81750R102,2020-11-13,Sell,ARKK,SERES THERAPEUTICS INC,16582,MCRB
3840,,,0.0293,25985W105,2020-11-13,Sell,ARKK,DOUYU INTERNATIONAL HOLDINGS LTD,225806,DOYU
3841,,,0.0004,302104104,2020-11-13,Sell,ARKK,EXONE CO/THE,3785,XONE
3842,,,0.486,69608A108,2020-11-13,Buy,ARKW,PALANTIR TECHNOLOGIES INC,1025700,PLTR
3843,,,0.2184,87918A105,2020-11-13,Buy,ARKW,TELADOC HEALTH INC,39450,TDOC
3844,,,0.1526,023135106,2020-11-13,Sell,ARKW,AMAZON.COM INC,1625,AMZN
3845,,,0.3498,01609W102,2020-11-13,Sell,ARKW,ALIBABA GROUP HOLDING LTD,44388,BABA
3846,,,0.049,14843C105,2020-11-12,Buy,ARKG,CASTLE BIOSCIENCES INC,31366,CSTL
3847,,,0.0053,760273102,2020-11-12,Buy,ARKG,REPARE THERAPEUTICS INC,6304,RPTX
3848,,,0.0119,M25722105,2020-11-12,Sell,ARKG,COMPUGEN LTD,29340,CGEN
3849,,,0.0049,87184Q107,2020-11-12,Sell,ARKG,SYROS PHARMACEUTICALS INC,18158,SYRS
3850,,,0.086,654445303,2020-11-12,Buy,ARKK,NINTENDO CO LTD,146000,NTDOY
3851,,,0.0002,302104104,2020-11-12,Sell,ARKK,EXONE CO/THE,1622,XONE
3852,,,0.0135,M85548101,2020-11-12,Sell,ARKK,STRATASYS LTD,99176,SSYS
3853,,,0.0964,63009R109,2020-11-12,Sell,ARKK,NANOSTRING TECHNOLOGIES INC,227753,NSTG
3854,,,0.0212,81750R102,2020-11-12,Sell,ARKK,SERES THERAPEUTICS INC,66955,MCRB
3855,,,0.058,25985W105,2020-11-12,Sell,ARKK,DOUYU INTERNATIONAL HOLDINGS LTD,438761,DOYU
3856,,,0.0871,98980G102,2020-11-12,Sell,ARKK,ZSCALER INC,68840,ZS
3857,,,0.0003,14843C105,2020-11-11,Buy,ARKG,CASTLE BIOSCIENCES INC,200,CSTL
3858,,,0.0048,760273102,2020-11-11,Buy,ARKG,REPARE THERAPEUTICS INC,5636,RPTX
3859,,,0.0273,M25722105,2020-11-11,Sell,ARKG,COMPUGEN LTD,68593,CGEN
3860,,,0.007,87184Q107,2020-11-11,Sell,ARKG,SYROS PHARMACEUTICALS INC,27653,SYRS
3861,,,0.1372,77543R102,2020-11-11,Buy,ARKK,ROKU INC,66159,ROKU
3862,,,0.0725,654445303,2020-11-11,Buy,ARKK,NINTENDO CO LTD,124900,NTDOY
3863,,,0.0235,81750R102,2020-11-11,Sell,ARKK,SERES THERAPEUTICS INC,74929,MCRB
3864,,,0.0124,30303M102,2020-11-11,Sell,ARKK,FACEBOOK INC,4896,FB
3865,,,0.0706,25985W105,2020-11-11,Sell,ARKK,DOUYU INTERNATIONAL HOLDINGS LTD,551104,DOYU
3866,,,0.0315,M85548101,2020-11-11,Sell,ARKK,STRATASYS LTD,233561,SSYS
3867,,,0.0015,302104104,2020-11-11,Sell,ARKK,EXONE CO/THE,15116,XONE
3868,,,0.0731,98980G102,2020-11-11,Sell,ARKK,ZSCALER INC,58902,ZS
3869,,,0.1595,77543R102,2020-11-11,Buy,ARKW,ROKU INC,22376,ROKU
3870,,,0.3511,848637104,2020-11-11,Sell,ARKW,SPLUNK INC,57540,SPLK
3871,,,0.1919,03969T109,2020-11-10,Buy,ARKG,ARCTURUS THERAPEUTICS HOLDINGS INC,161334,ARCT
3872,,,0.0201,14843C105,2020-11-10,Buy,ARKG,CASTLE BIOSCIENCES INC,12599,CSTL
3873,,,0.2062,45337C102,2020-11-10,Buy,ARKG,INCYTE CORP,76938,INCY
3874,,,0.1946,87918A105,2020-11-10,Buy,ARKG,TELADOC HEALTH INC,35533,TDOC
3875,,,0.0144,M25722105,2020-11-10,Sell,ARKG,COMPUGEN LTD,34700,CGEN
3876,,,0.1178,98980L101,2020-11-10,Buy,ARKK,ZOOM VIDEO COMMUNICATIONS INC,33322,ZM
3877,,,0.0467,90184D100,2020-11-10,Buy,ARKK,TWIST BIOSCIENCE CORP,51314,TWST
3878,,,0.1988,87918A105,2020-11-10,Buy,ARKK,TELADOC HEALTH INC,120560,TDOC
3879,,,0.1537,77543R102,2020-11-10,Buy,ARKK,ROKU INC,74085,ROKU
3880,,,0.0596,654445303,2020-11-10,Buy,ARKK,NINTENDO CO LTD,97228,NTDOY
3881,,,0.0029,M85548101,2020-11-10,Sell,ARKK,STRATASYS LTD,20715,SSYS
3882,,,0.0028,302104104,2020-11-10,Sell,ARKK,EXONE CO/THE,26845,XONE
3883,,,0.0041,81750R102,2020-11-10,Sell,ARKK,SERES THERAPEUTICS INC,12822,MCRB
3884,,,0.195,87918A105,2020-11-10,Buy,ARKW,TELADOC HEALTH INC,34417,TDOC
3885,,,0.3531,77543R102,2020-11-10,Buy,ARKW,ROKU INC,48907,ROKU
3886,,,0.132,98980L101,2020-11-10,Buy,ARKW,ZOOM VIDEO COMMUNICATIONS INC,10840,ZM
3887,,,0.2051,848637104,2020-11-10,Sell,ARKW,SPLUNK INC,33293,SPLK
3888,,,0.154,98954M200,2020-11-10,Sell,ARKW,ZILLOW GROUP INC,46840,Z
3889,,,0.4089,256163106,2020-11-09,Buy,ARKF,DOCUSIGN INC,20335,DOCU
3890,,,0.5058,98954M200,2020-11-09,Buy,ARKF,ZILLOW GROUP INC,49345,Z
3891,,,0.3549,82509L107,2020-11-09,Buy,ARKF,SHOPIFY INC,3957,SHOP
3892,,,0.3014,98138H101,2020-11-09,Buy,ARKF,WORKDAY INC,13684,WDAY
3893,,,0.4467,98980G102,2020-11-09,Sell,ARKF,ZSCALER INC,34824,ZS
3894,,,0.2469,83304A106,2020-11-09,Sell,ARKF,SNAP INC,59984,SNAP
3895,,,0.5006,72352L106,2020-11-09,Sell,ARKF,PINTEREST INC,87042,PINS
3896,,,0.3604,58733R102,2020-11-09,Sell,ARKF,MERCADOLIBRE INC,2723,MELI
3897,,,0.1074,03969T109,2020-11-09,Buy,ARKG,ARCTURUS THERAPEUTICS HOLDINGS INC,95000,ARCT
3898,,,0.2595,87918A105,2020-11-09,Buy,ARKG,TELADOC HEALTH INC,41794,TDOC
3899,,,0.0142,87184Q107,2020-11-09,Sell,ARKG,SYROS PHARMACEUTICALS INC,46851,SYRS
3900,,,0.0059,M25722105,2020-11-09,Sell,ARKG,COMPUGEN LTD,13828,CGEN
3901,,,0.0993,90184D100,2020-11-09,Buy,ARKK,TWIST BIOSCIENCE CORP,114128,TWST
3902,,,0.2606,87918A105,2020-11-09,Buy,ARKK,TELADOC HEALTH INC,152114,TDOC
3903,,,0.2117,77543R102,2020-11-09,Buy,ARKK,ROKU INC,98218,ROKU
3904,,,0.1526,654445303,2020-11-09,Buy,ARKK,NINTENDO CO LTD,242700,NTDOY
3905,,,0.2106,256163106,2020-11-09,Buy,ARKK,DOCUSIGN INC,104719,DOCU
3906,,,0.9222,30303M102,2020-11-09,Sell,ARKK,FACEBOOK INC,343311,FB
3907,,,0.0001,25985W105,2020-11-09,Sell,ARKK,DOUYU INTERNATIONAL HOLDINGS LTD,670,DOYU
3908,,,0.0022,302104104,2020-11-09,Sell,ARKK,EXONE CO/THE,21581,XONE
3909,,,0.0992,98980G102,2020-11-09,Sell,ARKK,ZSCALER INC,78816,ZS
3910,,,0.2045,052769106,2020-11-09,Buy,ARKQ,AUTODESK INC,6532,ADSK
3911,,,0.5049,03662Q105,2020-11-09,Buy,ARKQ,ANSYS INC,12981,ANSS
3912,,,0.2601,87918A105,2020-11-09,Buy,ARKW,TELADOC HEALTH INC,41570,TDOC
3913,,,0.5182,18915M107,2020-11-09,Buy,ARKW,CLOUDFLARE INC,249700,NET
3914,,,0.2092,256163106,2020-11-09,Buy,ARKW,DOCUSIGN INC,29865,DOCU
