,,% Trade,% of ETF,CUSIP,Date,Direction,FUND,Name,Shares,Ticker
156,,,0.1433,87238U203,2021-06-03,Sell,ARKF,TCS GROUP HOLDING PLC,72956,TCSLI
157,,,0.0099,82671G100,2021-06-03,Buy,ARKG,SIGNIFY HEALTH INC,32322,SGFY
158,,,0.0053,760273102,2021-06-03,Buy,ARKG,REPARE THERAPEUTICS INC,13463,RPTX
159,,,0.0001,65443P102,2021-06-03,Buy,ARKG,908 DEVICES INC,200,MASS
160,,,0.0013,253031108,2021-06-03,Buy,ARKG,DICERNA PHARMACEUTICALS INC,3406,DRNA
161,,,0.0,72940R300,2021-06-03,Sell,ARKG,PLURISTEM THERAPEUTICS INC,1046,PSTI
162,,,0.0178,40131M109,2021-06-03,Sell,ARKG,GUARDANT HEALTH INC,12229,GH
163,,,0.1516,98980L101,2021-06-03,Buy,ARKK,ZOOM VIDEO COMMUNICATIONS INC,96123,ZM
164,,,0.0051,69404D108,2021-06-03,Buy,ARKK,PACIFIC BIOSCIENCES OF CALIFORNIA INC,40000,PACB
165,,,0.0044,H17182108,2021-06-03,Buy,ARKK,CRISPR THERAPEUTICS AG,8000,CRSP
166,,,0.0001,68620A203,2021-06-03,Sell,ARKK,ORGANOVO HOLDINGS INC,3263,ONVO
167,,,0.0391,50077B207,2021-06-03,Buy,ARKQ,KRATOS DEFENSE & SECURITY SOLUTIONS INC,44867,KTOS
168,,,0.0907,65481N100,2021-06-03,Buy,ARKQ,NIU TECHNOLOGIES,78702,NIU
169,,,0.001,G3770A102,2021-06-03,Sell,ARKQ,GALILEO ACQUISITION CORP,2900,GLEO
170,,,0.0456,880770102,2021-06-03,Sell,ARKQ,TERADYNE INC,10261,TER
171,,,0.0877,G7483N129,2021-06-03,Buy,ARKX,REINVENT TECHNOLOGY PARTNERS,54800,RTP
172,,,0.0123,48581R205,2021-06-02,Buy,ARKF,KASPI.KZ JSC,4738,KSPI LI
173,,,0.1565,87238U203,2021-06-02,Sell,ARKF,TCS GROUP HOLDING PLC,80834,TCS LI
174,,,0.0016,125842203,2021-06-02,Buy,ARKG,CM LIFE SCIENCES II INC,10400,CMIIU
175,,,0.0513,253031108,2021-06-02,Buy,ARKG,DICERNA PHARMACEUTICALS INC,142313,DRNA
176,,,0.0395,82671G100,2021-06-02,Buy,ARKG,SIGNIFY HEALTH INC,129777,SGFY
177,,,0.004,81578P106,2021-06-02,Buy,ARKG,SEER INC,11789,SEER
